asset,type,criticality,password
"adam.cunningham","account","critical","dark_3_2007_SANCTUARY"
"sally.ross","account","medium","Academia Marc0# Ecogromics"
"jack.larkin","account","high","deals for the > next 2000 century"
"donald.darby","account","medium","Darby Climate Change 101"
"ziggy.mcleod","account","medium","#rooP #eht #taE"
"grant.jansky","account","critical","Choco#late Axienty"
"administrator","account","critical","gardner ross"
"mcgrath","account","critical","*2_5100_715_franklin_mint"
"ian.dantzer","account","medium","Deal Maker (){}<>"
"chris.todson","account","medium","bay STREET !5 @ civil war"
"cathy.blake","account","medium","I love benny"
"ann.krywarik","account","high","just one # more fix"
"susannah.marks","account","high","dudley the dragon"
"cedric.ross","account","critical","Maker0fK!ngs 1997"
"marty.stevens","account","high","k@ll the bear"
"sub-rosa.docx","document","high","dark sanctuary"
"obelisqe-research.zip","archive","critical","gun4hire#2021"
"marks-jan-trends-confidential.docx","document","medium","dudley do right"
"marks-feb-trends-confidential.docx","document","medium","dudley studly"
"marks-mar-trends-confidential.docx","document","medium","dudley easter"
"marks-apr-trends-confidential.docx","document","high","dudley flowers"
"marks-may-trends-confidential.docx","document","high","dudley showers"
"marks-jun-trends-confidential.docx","document","high","dudley summer"
"marks-jul-trends-confidential.docx","document","critical","dudley dragon"
